heartbeat_id,window_id,reference_sensor,window_start_s,window_end_s,sensor3_peak_time_s,sensor3_peak_idx,sensor4_peak_time_s,sensor4_peak_idx
27,10,sensor3,49.94892574633296,69.9464956577477,53.46785006467822,5941,53.51284909688212,5946
28,10,sensor3,49.94892574633296,69.9464956577477,54.30483206367083,6034,54.367830708756294,6041
29,10,sensor3,49.94892574633296,69.9464956577477,55.13281425622265,6126,55.177813288426556,6131
30,10,sensor3,49.94892574633296,69.9464956577477,55.96979625521526,6219,56.023795093859945,6225
31,10,sensor3,49.94892574633296,69.9464956577477,56.83377767353021,6315,56.923775737938016,6325
32,10,sensor3,49.94892574633296,69.9464956577477,57.62576064031891,6403,57.64376025320047,6405
33,10,sensor3,49.94892574633296,69.9464956577477,58.426743413548394,6492,58.498741865074635,6500
34,10,sensor3,49.94892574633296,69.9464956577477,59.200726767455535,6578,59.272725218981776,6586
35,10,sensor3,49.94892574633296,69.9464956577477,59.974710121362676,6664,60.00170954068502,6667
36,10,sensor3,49.94892574633296,69.9464956577477,60.74869347526982,6750,60.78469270103294,6754
37,10,sensor3,49.94892574633296,69.9464956577477,61.513677022736175,6835,61.55867605494008,6840
38,10,sensor3,49.94892574633296,69.9464956577477,62.27866057020254,6920,62.33265940884722,6926
39,10,sensor3,49.94892574633296,69.9464956577477,63.079643343432025,7009,63.12464237563593,7014
40,10,sensor3,49.94892574633296,69.9464956577477,63.88962592310229,7099,63.979623987510095,7109
41,10,sensor3,49.94892574633296,69.9464956577477,64.70860830921333,7190,64.78960656718036,7199
42,10,sensor3,49.94892574633296,69.9464956577477,65.50059127600204,7278,65.58158953396907,7287
43,10,sensor3,49.94892574633296,69.9464956577477,66.3105738556723,7368,66.34657308143542,7372
44,10,sensor3,49.94892574633296,69.9464956577477,67.1475558546649,7461,67.20155469330959,7467
45,10,sensor3,49.94892574633296,69.9464956577477,67.96653824077595,7552,68.06553611162454,7563
46,10,sensor3,49.94892574633296,69.9464956577477,69.59550320655725,7733,69.63150243232039,7737
47,14,sensor3,69.92849604486614,89.9260659562809,70.36048675402361,7818,70.38748617334595,7821
48,14,sensor3,69.92849604486614,89.9260659562809,71.11647049504919,7902,71.16146952725309,7907
49,14,sensor3,69.92849604486614,89.9260659562809,71.84545481675242,7983,71.87245423607477,7986
50,14,sensor3,69.92849604486614,89.9260659562809,72.59243875133723,8066,72.63743778354113,8071
51,14,sensor3,69.92849604486614,89.9260659562809,73.37542191168515,8153,73.42942075032984,8159
52,14,sensor3,69.92849604486614,89.9260659562809,74.22140371711853,8247,74.27540255576322,8253
53,14,sensor3,69.92849604486614,89.9260659562809,74.99538707102568,8333,75.04938590967036,8339
54,14,sensor3,69.92849604486614,89.9260659562809,75.76037061849203,8418,75.8233692635775,8425
55,14,sensor3,69.92849604486614,89.9260659562809,76.55235358528074,8506,76.57035319816231,8508
56,14,sensor3,69.92849604486614,89.9260659562809,77.35333635851022,8595,77.35333635851022,8595
57,14,sensor3,69.92849604486614,89.9260659562809,78.17231874462126,8686,78.24431719614752,8694
58,14,sensor3,69.92849604486614,89.9260659562809,78.91930267920607,8769,78.97330151785076,8775
59,14,sensor3,69.92849604486614,89.9260659562809,79.69328603311321,8855,79.71128564599478,8857
60,14,sensor3,69.92849604486614,89.9260659562809,80.44026996769801,8938,80.48526899990192,8943
61,14,sensor3,69.92849604486614,89.9260659562809,81.21425332160516,9024,81.26825216024983,9030
62,14,sensor3,69.92849604486614,89.9260659562809,81.93423783686761,9104,81.9432376433084,9105
63,14,sensor3,69.92849604486614,89.9260659562809,82.69922138433397,9189,82.75322022297865,9195
64,14,sensor3,69.92849604486614,89.9260659562809,83.46420493180032,9274,83.51820377044501,9280
65,14,sensor3,69.92849604486614,89.9260659562809,84.26518770502982,9363,84.3191865436745,9369
66,14,sensor3,69.92849604486614,89.9260659562809,85.03917105893696,9449,85.0661704782593,9452
67,14,sensor3,69.92849604486614,89.9260659562809,85.8131544128441,9535,85.84915363860722,9539
68,14,sensor3,69.92849604486614,89.9260659562809,86.6051373796328,9623,86.64113660539593,9627
69,14,sensor3,69.92849604486614,89.9260659562809,87.41511995930307,9713,87.45111918506619,9717
70,14,sensor3,69.92849604486614,89.9260659562809,88.24310215185488,9805,88.28810118405879,9810
71,14,sensor3,69.92849604486614,89.9260659562809,89.00808569932124,9890,89.04408492508438,9894
