heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor3_time_s,sensor4_time_s,window_start_s,window_end_s,reference_sensor,reference_mean_ibi_ms,sensor5_time_s
694,36,sensor3-sensor4,finger→wrist,44.99768513474578,182.2856224809109,182.33062016604563,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
695,36,sensor3-sensor4,finger→wrist,44.99768513474578,183.1225794244174,183.16757710955216,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
696,36,sensor3-sensor4,finger→wrist,35.99814810780799,183.90553914576222,183.94153729387003,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
697,36,sensor3-sensor4,finger→wrist,53.99722216171199,184.6615002560262,184.7154974781879,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
698,36,sensor3-sensor4,finger→wrist,44.9976851347742,185.45345951439793,185.4984571995327,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
699,36,sensor3-sensor4,finger→wrist,53.99722216171199,186.26341784682361,186.31741506898533,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
700,36,sensor3-sensor4,finger→wrist,26.998611080870205,187.06437664222233,187.0913752533032,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
701,36,sensor3-sensor4,finger→wrist,44.9976851347742,187.8203377524863,187.86533543762107,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
702,36,sensor3-sensor4,finger→wrist,35.99814810780799,188.6392956219389,188.67529377004672,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
703,36,sensor3-sensor4,finger→wrist,44.99768513474578,189.44025441733766,189.4852521024724,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
704,36,sensor3-sensor4,finger→wrist,26.998611080870205,190.2322136757094,190.25921228679027,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
705,36,sensor3-sensor4,finger→wrist,35.99814810777957,191.05117154516205,191.08716969326983,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
706,36,sensor3-sensor4,finger→wrist,26.998611080841783,191.88812848866857,191.9151270997494,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
707,36,sensor3-sensor4,finger→wrist,53.99722216171199,192.7070863581212,192.7610835802829,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
708,36,sensor3-sensor4,finger→wrist,26.998611080841783,193.49904561649296,193.5260442275738,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
709,36,sensor3-sensor4,finger→wrist,44.9976851347742,194.30900394891862,194.3540016340534,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
