heartbeat_id,window_id,reference_sensor,window_start_s,window_end_s,sensor3_peak_time_s,sensor3_peak_idx,sensor4_peak_time_s,sensor4_peak_idx,sensor5_peak_time_s,sensor5_peak_idx
25,5,sensor3,24.97371524979154,44.97068652367868,40.79490134317299,4533.0,40.8488985653347,4539,,
26,5,sensor3,24.97371524979154,44.97068652367868,41.442868009113525,4605.0,41.46086708316743,4607,,
27,5,sensor3,24.97371524979154,44.97068652367868,42.06383606397321,4674.0,42.09983421208102,4678,,
28,5,sensor3,24.97371524979154,44.97068652367868,42.729801803967646,4748.0,42.765799952075454,4752,,
29,5,sensor3,24.97371524979154,44.97068652367868,43.395767543962094,4822.0,43.413766618016,4824,,
30,5,sensor3,24.97371524979154,44.97068652367868,44.02573513584872,4892.0,44.043734209902624,4894,,
31,5,sensor3,24.97371524979154,44.97068652367868,44.70070041287012,4967.0,44.727699023950976,4970,,
32,6,sensor3,29.968458299749848,49.96542957363698,30.64342357677124,3405.0,30.73341894704076,3415,,
33,6,sensor3,29.968458299749848,49.96542957363698,31.30038977973873,3478.0,31.336387927846538,3482,,
34,6,sensor3,29.968458299749848,49.96542957363698,31.867360612436702,3541.0,31.92135783459841,3547,,
35,6,sensor3,29.968458299749848,49.96542957363698,32.46133005621552,3607.0,32.49732820432333,3611,,
36,6,sensor3,29.968458299749848,49.96542957363698,33.091297648102156,3677.0,33.136295333236916,3682,,
37,6,sensor3,29.968458299749848,49.96542957363698,33.73026477701575,3748.0,33.78426199917746,3754,,
38,6,sensor3,29.968458299749848,49.96542957363698,34.333233757821525,3815.0,34.39623051701019,3822,,
39,6,sensor3,29.968458299749848,49.96542957363698,34.92720320160035,3881.0,34.98120042376206,3887,,
40,6,sensor3,29.968458299749848,49.96542957363698,35.566170330513934,3952.0,35.59316894159479,3955,,
41,6,sensor3,29.968458299749848,49.96542957363698,36.30413236672399,4034.0,36.34913005185875,4039,,
42,6,sensor3,29.968458299749848,49.96542957363698,36.97009810671843,4108.0,37.00609625482624,4112,,
43,6,sensor3,29.968458299749848,49.96542957363698,37.609065235632016,4179.0,37.645063383739824,4183,,
44,6,sensor3,29.968458299749848,49.96542957363698,38.23903282751865,4249.0,38.28403051265341,4254,,
45,6,sensor3,29.968458299749848,49.96542957363698,38.89599903048614,4322.0,38.922997641566994,4325,,
46,6,sensor3,29.968458299749848,49.96542957363698,39.51696708534582,4391.0,39.53496615939972,4393,,
47,6,sensor3,29.968458299749848,49.96542957363698,40.119936066151595,4458.0,40.1559342142594,4462,,
48,6,sensor3,29.968458299749848,49.96542957363698,40.794901343172995,4533.0,40.84889856533471,4539,,
49,6,sensor3,29.968458299749848,49.96542957363698,41.442868009113525,4605.0,41.46086708316743,4607,,
50,6,sensor3,29.968458299749848,49.96542957363698,42.06383606397321,4674.0,42.09983421208102,4678,,
51,6,sensor3,29.968458299749848,49.96542957363698,42.72980180396765,4748.0,42.76579995207546,4752,,
52,6,sensor3,29.968458299749848,49.96542957363698,43.395767543962094,4822.0,43.413766618016,4824,,
53,6,sensor3,29.968458299749848,49.96542957363698,44.03473467287568,4893.0,44.05273374692958,4895,,
54,6,sensor3,29.968458299749848,49.96542957363698,44.69170087584317,4966.0,44.727699023950976,4970,,
55,6,sensor3,29.968458299749848,49.96542957363698,45.339667541783705,5038.0,45.384665226918464,5043,,
56,6,sensor3,29.968458299749848,49.96542957363698,45.960635596643385,5107.0,45.99663374475119,5111,,
57,6,sensor3,29.968458299749848,49.96542957363698,46.572604114476114,5175.0,46.60860226258392,5179,,
58,6,sensor3,29.968458299749848,49.96542957363698,47.2295703174436,5248.0,47.27456800257836,5253,,
59,6,sensor3,29.968458299749848,49.96542957363698,47.96753235365366,5330.0,48.00353050176147,5334,,
