heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor2_time_s,sensor3_time_s,window_start_s,window_end_s,reference_sensor,reference_mean_ibi_ms,sensor4_time_s,sensor5_time_s
98,9,sensor2-sensor4,nose→wrist,71.99842484817509,62.22463867502978,,44.95401651457532,64.95157901615417,sensor2,774.703051366295,62.296637099877955,
99,9,sensor2-sensor4,nose→wrist,71.99842484816799,63.00762154525362,,44.95401651457532,64.95157901615417,sensor2,774.703051366295,63.07961997010179,
100,9,sensor2-sensor4,nose→wrist,62.998621742153205,63.81760382479551,,44.95401651457532,64.95157901615417,sensor2,774.703051366295,63.880602446537665,
101,9,sensor2-sensor4,nose→wrist,71.99842484817509,64.64558571054945,,44.95401651457532,64.95157901615417,sensor2,774.703051366295,64.71758413539763,
102,10,sensor2-sensor4,nose→wrist,80.99822795418987,50.71389050242881,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,50.794888730383,
103,10,sensor2-sensor4,nose→wrist,71.99842484816799,51.52387278197071,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,51.59587120681888,
104,10,sensor2-sensor4,nose→wrist,71.99842484816799,52.315855455300564,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,52.38785388014873,
105,10,sensor2-sensor4,nose→wrist,62.998621742153205,53.03583970378225,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,53.098838325524405,
106,10,sensor2-sensor4,nose→wrist,71.99842484816799,53.791823164688026,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,53.863821589536194,
107,10,sensor2-sensor4,nose→wrist,62.9986217421461,54.58380583801788,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,54.64680445976003,
108,10,sensor2-sensor4,nose→wrist,44.99901553010943,55.366788708241714,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,55.41178772377182,
109,10,sensor2-sensor4,nose→wrist,53.99881863613132,56.1317719722535,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,56.185770790889634,
110,10,sensor2-sensor4,nose→wrist,71.99842484816799,56.842756417629175,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,56.91475484247734,
111,10,sensor2-sensor4,nose→wrist,71.99842484817509,57.5807402723229,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,57.652738697171074,
112,10,sensor2-sensor4,nose→wrist,80.99822795418987,58.33672373322867,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,58.41772196118286,
113,10,sensor2-sensor4,nose→wrist,71.99842484816799,59.10170699724046,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,59.17370542208863,
114,10,sensor2-sensor4,nose→wrist,53.99881863612421,59.848690655040215,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,59.90268947367634,
115,10,sensor2-sensor4,nose→wrist,62.9986217421461,60.59567431283997,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,60.658672934582114,
